feature,normal,fork-bomb,disk-stress,syscall-flood,cpu-stress,network-flood
syscall_read_rate,0.2668727559358665,0.17284114163017297,0.04422239733924332,1.367030828688132,0.23482366761048612,0.10815470493314817
syscall_write_rate,0.21680363213997983,0.08535694215606915,0.07025682734842932,1.2497126347428482,0.13102954831251323,0.052366847551936685
syscall_open_rate,0.25925880356913766,0.1563347610892922,0.12140697122495855,2.3285979120808444,0.18962571512999152,3.159327530279703
tcp_connect_rate,0.23576990981913729,0.15536746368996768,0.1141054687921624,0.057675957072003944,0.208372961088849,0.10391045167840869
tcp_retransmit_rate,0.0674006199491842,0.04193863505872631,0.12044406608863152,0.025234012801211996,0.05040871316985945,0.03151162430496381
network_rx_bytes,0.20031439770818368,0.12231094205781376,0.08338227773958919,0.04439594501979384,0.1609562041113634,2.8675381106968465
network_tx_bytes,0.2290474670050323,0.13267041706207072,0.08728846997734284,0.04307510915518938,0.16186281922597778,2.945745609227372
disk_read_bytes,0.1349553474128922,0.059709917900987716,2.6731737383204215,0.025042159090629474,0.08093446191039674,0.03882844265775695
disk_write_bytes,0.18751833532629522,0.07388926153561799,3.5329165135311675,2.3318168289560477,0.0856973111328067,0.051006587880313176
disk_io_latency_ms,0.1404014438073059,0.06264083587232921,0.3277494875825417,0.30730962165098813,0.07136204790212536,0.03990882233350249
process_exec_count,0.3033697523001259,0.1517427083307894,0.1122701585502902,1.9237213177245691,0.21663163091171386,0.08630605047167596
process_fork_count,0.3183199223420586,4.275053719858983,0.12045625684535628,1.9402544052632007,0.2318132283999337,0.13708824109331197
context_switch_count,0.2137685400893784,1.1664595313023502,2.7410900603990496,0.2675858699791411,0.13928627262035184,1.0365566200392857
